entity,cusip,cik,date,tickercusip,nameOfIssuer,shares,value
"0001633862    Lincoln Capital LLC
Name: entity, dtype: object",53015103,1633862,6/30/2020,ADP,AUTOMATIC DATA PROCESSING IN,2483,370000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",00738A106,1558481,6/30/2020,ADTN,ADTRAN INC,10854,119000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",00770F104,1583751,3/31/2020,AEGN,AEGION CORP,105,2000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",7973100,1558481,6/30/2020,AEIS,ADVANCED ENERGY INDUSTRIES,8652,587000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",25676206,1558481,6/30/2020,AEL,AMERICAN EQUITY INVT LIFE HL,20605,509000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",2.55E+109,1558481,6/30/2020,AEO,AMERICAN EAGLE OUTFITTERS,35805,390000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",25537101,1748766,6/30/2020,AEP,AMERICAN ELEC PWR CO INC,472,38000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",N00985106,1722641,6/30/2020,AER,AERCAP HOLDINGS N V SHS,89,3000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",1084102,1558481,6/30/2020,AG,AGCO CORP,14489,804000
"0001634228    AdvicePeriod, LLC
Name: entity, dtype: object",464287226,1634228,6/30/2020,AGG,ISHARES TR,67552,7985000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",1744101,1558481,6/30/2020,AHS,AMN HEALTHCARE SERVICES INC,10575,478000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",12348108,1558481,6/30/2020,AIN,ALBANY INTL CORP CL A,6927,407000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",361105,1583751,6/30/2020,AIR,AAR CORP,64,1000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",7800105,1558481,6/30/2020,AJRD,AEROJET ROCKETDYNE HOLDINGS,15101,599000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",4239109,1558481,6/30/2020,AKR,ACADIA REALTY TRUST,18537,241000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",1547108,1558481,12/31/2019,AKS,AK STEEL HOLDING CORP,211018,694000
"0000714364    OGOREK ANTHONY JOSEPH /NY/ /ADV
Name: entity, dtype: object",H01301128,714364,6/30/2020,ALC,ALC,425,24000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",18522300,1558481,6/30/2020,ALE,ALLETE INC,11668,637000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",14491104,1558481,6/30/2020,ALEX,ALEXANDER & BALDWIN INC,15504,189000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",11311107,1558481,6/30/2020,ALG,ALAMO GROUP INC,2269,233000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",16255101,1537014,6/30/2020,ALGN,ALIGN TECHNOLOGY INC,5132,1408000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",03676B102,1558481,6/30/2020,AM,ANTERO MIDSTREAM CORP,65557,334000
"0001633862    Lincoln Capital LLC
Name: entity, dtype: object",38222105,1633862,6/30/2020,AMAT,APPLIED MATLS INC,3912,236000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",23139884,1558481,6/30/2020,AMBC,AMBAC FINANCIAL GROUP INC,10287,147000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",G0250X107,1645382,6/30/2020,AMCR,AMCOR PLC,19479,199000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",7903107,1537014,6/30/2020,AMD,ADVANCED MICRO DEVICES INC,302722,15927000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",23436108,1558481,6/30/2020,AMED,AMEDISYS INC,7294,1448000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",03071H100,1558481,6/30/2020,AMSF,AMERISAFE INC,4357,266000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",30506109,1558481,6/30/2020,AMWD,AMERICAN WOODMARK CORP,3629,275000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",23135106,1748766,6/30/2020,AMZN,AMAZON COM INC,17,47000
"0001631507    Leisure Capital Management
Name: entity, dtype: object",05329W102,1631507,6/30/2020,AN,AUTONATION INC,15697,590000
"0001698750    TFO-TDC, LLC
Name: entity, dtype: object",34164103,1698750,6/30/2020,ANDE,Andersons Inc,2362,33000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",2896207,1558481,6/30/2020,ANF,ABERCROMBIE & FITCH CO CL A,14163,151000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",92189F437,1722641,6/30/2020,ANGL,VANECK VECTORS FALLEN ANGEL HIGH YIELD BOND ETF,131,4000
"0001138486    NORTHERN OAK WEALTH MANAGEMENT
Name: entity, dtype: object",00182C103,1138486,3/31/2020,ANIP,ANI PHARMACEUTICALS INC,1,0
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",03662Q105,1748766,6/30/2020,ANSS,ANSYS INC,28,8000
"0001759803    Graves-Light Private Wealth Management, Inc.
Name: entity, dtype: object",9158106,1759803,6/30/2020,APD,AIR PRODS & CHEMS INC,1530,369000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",G6095L109,1537014,6/30/2020,APTV,APTIV PLC,30,2000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",03755L104,1558481,3/31/2020,APY,APERGY CORP,18185,105000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",03937C105,1583751,6/30/2020,ARCB,ARCBEST CORP,76,2000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",15271109,1537014,6/30/2020,ARE,ALEXANDRIA REAL ESTATE EQ IN,9041,1467000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",03762U105,1558481,6/30/2020,ARI,APOLLO COMMERCIAL REAL ESTAT,33030,324000
"0001576654    Rikoon Group, LLC
Name: entity, dtype: object",00214Q104,1576654,6/30/2020,ARKK,ARK ETF TR,6478,462000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",03957W106,1558481,6/30/2020,AROC,ARCHROCK INC,29330,190000
"0001731372    Kendall Capital Management
Name: entity, dtype: object",42735100,1731372,6/30/2020,ARW,Arrow Electronics Inc,12580,864000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",04280A100,1537014,6/30/2020,ARWR,ARROWHEAD PHARMACEUTICALS IN,321146,13871000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",00191U102,1558481,6/30/2020,ASGN,ASGN INC,11917,795000
"0001631507    Leisure Capital Management
Name: entity, dtype: object",44186104,1631507,6/30/2020,ASH,ASHLAND GLOBAL HLDGS INC,11250,777000
"0001424322    Cubic Asset Management, LLC
Name: entity, dtype: object",00773T101,1424322,6/30/2020,ASIX,ADVANSIX INC,36690,431000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",N07059210,1645382,6/30/2020,ASML,ASML HOLDING N V,2971,1093000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",46224101,1558481,6/30/2020,ASTE,ASTEC INDUSTRIES INC,4580,212000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",00737L103,1558481,6/30/2020,ATGE,ADTALEM GLOBAL EDUCATION INC,11943,372000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",01741R102,1645382,6/30/2020,ATI,ALLEGHENY TECHNOLOGIES INC,91314,930000
"0001698750    TFO-TDC, LLC
Name: entity, dtype: object",8073108,1698750,6/30/2020,AVAV,Aerovironment Inc,1000,80000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",54303102,1645382,12/31/2019,AVP,AVON PRODS INC,21408,121000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",53807103,1558481,6/30/2020,AVT,AVNET INC,22534,628000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",53611109,1537014,6/30/2020,AVY,AVERY DENNISON CORP,21598,2464000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",29899101,1558481,6/30/2020,AWR,AMERICAN STATES WATER CO,8319,654000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",05465C100,1558481,6/30/2020,AX,AXOS FINANCIAL INC,12462,275000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",35290105,1558481,3/31/2020,AXE,ANIXTER INTERNATIONAL INC,7545,663000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",24061103,1558481,6/30/2020,AXL,AMERICAN AXLE & MFG HOLDINGS,25402,193000
"0001759803    Graves-Light Private Wealth Management, Inc.
Name: entity, dtype: object",25816109,1759803,6/30/2020,AXP,AMERICAN EXPRESS CO,2862,272000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",00508Y102,1558481,6/30/2020,AYI,ACUITY BRANDS INC,8947,857000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",45327103,1558481,6/30/2020,AZPN,ASPEN TECHNOLOGY INC,15328,1588000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",67806109,1558481,6/30/2020,B,BARNES GROUP INC,10900,431000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",97023105,1748766,6/30/2020,BA,BOEING CO,539,99000
"0001767045    Lindbrook Capital, LLC
Name: entity, dtype: object",639050103,1767045,6/30/2020,BABY,NATUS MED INC DEL COM,27,1000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",60505104,1748766,6/30/2020,BAC,BK OF AMERICA CORP,580,14000
"0001633862    Lincoln Capital LLC
Name: entity, dtype: object",112585104,1633862,6/30/2020,BAM,BROOKFIELD ASSET MGMT INC,51965,1710000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",06652V208,1558481,6/30/2020,BANR,BANNER CORPORATION,8061,306000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",71813109,1748766,6/30/2020,BAX,BAXTER INTL INC,195,17000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",75896100,1558481,6/30/2020,BBBY,BED BATH & BEYOND INC,28656,304000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",117043109,1558481,6/30/2020,BC,BRUNSWICK CORP,17937,1148000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",09739D100,1645382,6/30/2020,BCC,BOISE CASCADE CO DEL,6267,236000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",109696104,1558481,6/30/2020,BCO,BRINK S CO/THE,11291,514000
"0001698750    TFO-TDC, LLC
Name: entity, dtype: object",95229100,1698750,6/30/2020,BCOR,Blucora Inc,10,0
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",57665200,1558481,6/30/2020,BCPC,BALCHEM CORP,7280,691000
"0001633862    Lincoln Capital LLC
Name: entity, dtype: object",75887109,1633862,6/30/2020,BDX,BECTON DICKINSON & CO,18788,4496000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",77347300,1722641,3/31/2020,BELFB,BEL FUSE INC CL B,66,1000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",109194100,1558481,6/30/2020,BFAM,BRIGHT HORIZONS FAMILY SOLUT,13132,1539000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",804395101,1583751,6/30/2020,BFS,SAUL CTRS INC,79,3000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",05508R106,1558481,6/30/2020,BGS,B&G FOODS INC,14455,352000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",08160H101,1583751,3/31/2020,BHE,BENCHMARK ELECTRS INC,16,0
"0001731372    Kendall Capital Management
Name: entity, dtype: object",10922N103,1731372,6/30/2020,BHF,Brighthouse Financial Inc,16175,450000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",84680107,1558481,6/30/2020,BHLB,BERKSHIRE HILLS BANCORP INC,10073,111000
"0001633862    Lincoln Capital LLC
Name: entity, dtype: object",64058100,1633862,6/30/2020,BK,BANK NEW YORK MELLON CORP,83742,3237000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",92113109,1558481,6/30/2020,BKH,BLACK HILLS CORP,14161,802000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",09215C105,1558481,6/30/2020,BKI,BLACK KNIGHT INC,34838,2528000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",89055F103,1537014,6/30/2020,BLD,TOPBUILD CORP,20,2000
"0001633862    Lincoln Capital LLC
Name: entity, dtype: object",09247X101,1633862,6/30/2020,BLK,BLACKROCK INC,3046,1657000
"0001269950    DELTEC ASSET MANAGEMENT LLC
Name: entity, dtype: object",94235108,1269950,6/30/2020,BLMN,BLOOMIN BRANDS INC,32500,346000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",56525108,1537014,6/30/2020,BMI,BADGER METER INC,17973,1131000
"0001759803    Graves-Light Private Wealth Management, Inc.
Name: entity, dtype: object",110122108,1759803,6/30/2020,BMY,BRISTOL-MYERS SQUIBB CO,52465,3085000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",62540109,1558481,6/30/2020,BOH,BANK OF HAWAII CORP,9037,555000
"0001631507    Leisure Capital Management
Name: entity, dtype: object",72201R775,1631507,6/30/2020,BOND,PIMCO ETF TR,11150,1244000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",37954Y715,1583751,6/30/2020,BOTZ,GLOBAL X FDS,800,19000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",11133T103,1537014,6/30/2020,BR,BROADRIDGE FINL SOLUTIONS IN,17173,2167000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",104674106,1558481,6/30/2020,BRC,BRADY CORPORATION   CL A,11243,526000
"0001694461    HARVEST GROUP WEALTH MANAGEMENT, LLC
Name: entity, dtype: object",92189F825,1694461,12/31/2019,BRF,VANECK VECTORS BRAZIL SMALL-CAP ETF,800,21000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",11373M107,1558481,6/30/2020,BRKL,BROOKLINE BANCORP INC,17986,181000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",114340102,1537014,6/30/2020,BRKS,BROOKS AUTOMATION INC NEW,374787,16581000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",11120U105,1558481,6/30/2020,BRX,BRIXMOR PROPERTY GROUP INC,67264,862000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",101137107,1537014,6/30/2020,BSX,BOSTON SCIENTIFIC CORP,81267,2853000
"0001739594    Altium Wealth Management LLC
Name: entity, dtype: object",03524A108,1739594,6/30/2020,BUD,ANHEUSER BUSCH INBEV SA/NV,7366,363000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",122017106,1537014,6/30/2020,BURL,BURLINGTON STORES INC,3256,641000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",99724106,1537014,6/30/2020,BWA,BORGWARNER INC,5676,200000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",05605H100,1558481,6/30/2020,BWXT,BWX TECHNOLOGIES INC,21461,1216000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",09260D107,1537014,6/30/2020,BX,BLACKSTONE GROUP INC,31118,1763000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",05971J102,1558481,6/30/2020,BXS,BANCORPSOUTH BANK,23888,543000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",103304101,1558481,6/30/2020,BYD,BOYD GAMING CORP,18818,393000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",8.86E+112,1537014,6/30/2020,BYND,BEYOND MEAT INC,6121,820000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",225310101,1558481,6/30/2020,CACC,CREDIT ACCEPTANCE CORP,2253,944000
"0001767045    Lindbrook Capital, LLC
Name: entity, dtype: object",124765108,1767045,6/30/2020,CAE,CAE INC COM,772,12000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",163072101,1558481,6/30/2020,CAKE,CHEESECAKE FACTORY INC/THE,9570,219000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",129500104,1583751,6/30/2020,CAL,CALERES INC,216,2000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",128030202,1558481,6/30/2020,CALM,CAL MAINE FOODS INC,6935,308000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",53774105,1558481,6/30/2020,CAR,AVIS BUDGET GROUP INC,13426,307000
"0001694461    HARVEST GROUP WEALTH MANAGEMENT, LLC
Name: entity, dtype: object",59100U108,1694461,3/31/2020,CASH,META FINL GROUP INC COM,0,0
"0001694461    HARVEST GROUP WEALTH MANAGEMENT, LLC
Name: entity, dtype: object",14808P109,1694461,6/30/2020,CASS,CASS INFORMATION SYS INC COM,5,0
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",G1991C105,1558481,6/30/2020,CATM,CARDTRONICS PLC   A,8557,205000
"0001633862    Lincoln Capital LLC
Name: entity, dtype: object",H1467J104,1633862,6/30/2020,CB,CHUBB LIMITED,8059,1020000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",171871502,1558481,6/30/2020,CBB,CINCINNATI BELL INC,10271,153000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",22410J106,1558481,6/30/2020,CBRL,CRACKER BARREL OLD COUNTRY,5134,569000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",127055101,1558481,6/30/2020,CBT,CABOT CORP,12793,474000
"0001631507    Leisure Capital Management
Name: entity, dtype: object",203607106,1631507,6/30/2020,CBU,COMMUNITY BK SYS INC,7000,399000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",163851108,1558481,6/30/2020,CC,CHEMOURS CO/THE,37017,568000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",143658300,1537014,6/30/2020,CCL,CARNIVAL CORP,190752,3132000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",12709P103,1558481,6/30/2020,CCMP,CABOT MICROELECTRONICS CORP,6597,921000
"0001699622    ACCESS FINANCIAL SERVICES, INC.
Name: entity, dtype: object",19239V302,1699622,6/30/2020,CCOI,COGENT COMMUNICATIONS HLDGS,29319,2268000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",15677J108,1558481,6/30/2020,CDAY,CERIDIAN HCM HOLDING INC,26130,2071000
"0000710127    SEARLE &amp; CO.
Name: entity, dtype: object",1.25E+105,710127,6/30/2020,CDK,CDK GLOBAL INC,5700,236000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",127387108,1537014,6/30/2020,CDN,CADENCE DESIGN SYSTEM INC,207304,19894000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",150602209,1558481,3/31/2020,CDR,CEDAR REALTY TRUST INC,20898,19000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",153527205,1558481,6/30/2020,CENTA,CENTRAL GARDEN AND PET CO A,9070,306000
"0001633862    Lincoln Capital LLC
Name: entity, dtype: object",156782104,1633862,6/30/2020,CERN,CERNER CORP,4660,319000
"0001694461    HARVEST GROUP WEALTH MANAGEMENT, LLC
Name: entity, dtype: object",92647N766,1694461,6/30/2020,CFA,VICTORYSHARES U.S. 500 VOLATILITY WTD INDEX FUND,65,3000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",192422103,1537014,6/30/2020,CGNX,COGNEX CORP,9872,590000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",177835105,1558481,6/30/2020,CHCO,CITY HOLDING CO,3680,240000
"0001694461    HARVEST GROUP WEALTH MANAGEMENT, LLC
Name: entity, dtype: object",128117108,1694461,6/30/2020,CHI,CALAMOS CONV OPP AND INC FD SH BEN INT,1389,14000
"0001739594    Altium Wealth Management LLC
Name: entity, dtype: object",M22465104,1739594,6/30/2020,CHKP,CHECK POINT SOFTWARE TECH LT,3500,376000
"0001694461    HARVEST GROUP WEALTH MANAGEMENT, LLC
Name: entity, dtype: object",17273K109,1694461,6/30/2020,CIR,CIRCOR INTL INC COM,16,0
"0001633862    Lincoln Capital LLC
Name: entity, dtype: object",194162103,1633862,6/30/2020,CL,COLGATE PALMOLIVE CO,10984,805000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",N22717107,1558481,6/30/2020,CLB,CORE LABORATORIES N.V.,10032,204000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",185899101,1558481,6/30/2020,CLF,CLEVELAND CLIFFS INC,89833,496000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",184496107,1558481,6/30/2020,CLH,CLEAN HARBORS INC,11971,718000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",554489104,1558481,6/30/2020,CLI,MACK CALI REALTY CORP,20448,313000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",189054109,1537014,6/30/2020,CLX,CLOROX CO DEL,11277,2474000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",20030N101,1748766,6/30/2020,CMCSA,COMCAST CORP NEW,1671,65000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",20451N101,1558481,6/30/2020,CMP,COMPASS MINERALS INTERNATION,7650,373000
"0001389059    BLB&amp;B Advisors, LLC
Name: entity, dtype: object",125896100,1389059,6/30/2020,CMS,CMS ENERGY CORP,47864,2796000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",17243V102,1645382,6/30/2020,CNK,CINEMARK HLDGS INC,10156,117000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",207410101,1558481,6/30/2020,CNMD,CONMED CORP,6431,463000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",13765N107,1558481,6/30/2020,CNNE,CANNAE HOLDINGS INC,18346,754000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",1.26E+107,1558481,6/30/2020,CNO,CNO FINANCIAL GROUP INC,33017,514000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",19247A100,1558481,6/30/2020,CNS,COHEN & STEERS INC,5332,363000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",12653C108,1558481,6/30/2020,CNX,CNX RESOURCES CORP,42127,364000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",192479103,1558481,6/30/2020,COHR,COHERENT INC,5452,714000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",197236102,1558481,6/30/2020,COLB,COLUMBIA BANKING SYSTEM INC,16282,462000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",20825C104,1537014,6/30/2020,COP,CONOCOPHILLIPS,115510,4854000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",218352102,1558481,6/30/2020,CORT,CORCEPT THERAPEUTICS INC,24572,413000
"0001694461    HARVEST GROUP WEALTH MANAGEMENT, LLC
Name: entity, dtype: object",21676P103,1694461,6/30/2020,COSH,COOPER STD HLDGS INC COM,120,1000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",22160K105,1748766,6/30/2020,COST,COSTCO WHSL CORP NEW,15,5000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",13645T100,1537014,6/30/2020,CP,CANADIAN PAC RY LTD,4201,1065000
"0001525212    USCA RIA LLC
Name: entity, dtype: object",13123X102,1525212,6/30/2020,CPE,CALLON PETE CO DEL,94457,109000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",224399105,1558481,6/30/2020,CR,CRANE CO,10680,635000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",13057Q206,1722641,6/30/2020,CRC,CALIFORNIA RES CORP COM NEW,7,0
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",225447101,1558481,6/30/2020,CREE,CREE INC,24393,1444000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",146229109,1558481,6/30/2020,CRI,CARTER S INC,9915,800000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",159864107,1558481,6/30/2020,CRL,CHARLES RIVER LABORATORIES,11169,1947000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",227046109,1558481,6/30/2020,CROX,CROCS INC,15409,567000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",144285103,1558481,6/30/2020,CRS,CARPENTER TECHNOLOGY,10789,262000
"0001576654    Rikoon Group, LLC
Name: entity, dtype: object",H17182108,1576654,6/30/2020,CRSP,CRISPR THERAPEUTICS AG,4377,322000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",172755100,1558481,6/30/2020,CRUS,CIRRUS LOGIC INC,13233,818000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",221006109,1583751,6/30/2020,CRVL,CORVEL CORP,44,3000
